scientific_name,common_name
Catharus ustulatus,Swainson's Thrush
Regulus satrapa,Golden-crowned Kinglet
Strix varia,Barred Owl
Sitta canadensis,Red-breasted Nuthatch
Setophaga magnolia,Magnolia Warbler
Empidonax hammondii,Hammond's Flycatcher
Poecile hudsonicus,Boreal Chickadee
Loxia leucoptera,White-winged Crossbill
Troglodytes pacificus,Pacific Wren
Tamiasciurus hudsonicus,Red Squirrel
Gavia immer,Common Loon
Setophaga ruticilla,American Redstart
Parkesia noveboracensis,Northern Waterthrush
Vireo gilvus,Warbling Vireo
Coccothraustes vespertinus,Evening Grosbeak
Leiothlypis peregrina,Tennessee Warbler
Corthylio calendula,Ruby-crowned Kinglet
Bombycilla cedrorum,Cedar Waxwing
Falco columbarius,Merlin
Corvus corax,Common Raven
Haliaeetus leucocephalus,Bald Eagle
Zonotrichia albicollis,White-throated Sparrow
Spinus pinus,Pine Siskin
Oporornis agilis,Connecticut Warbler
Ixoreus naevius,Varied Thrush
Empidonax minimus,Least Flycatcher
Contopus sordidulus,Western Wood-Pewee
Geothlypis tolmiei,MacGillivray's Warbler
Piranga ludoviciana,Western Tanager
Atlapetes pallidinucha,Pale-naped Brushfinch
Podiceps auritus,Horned Grebe
Dryocopus pileatus,Pileated Woodpecker
Megaceryle alcyon,Belted Kingfisher
Contopus cooperi,Olive-sided Flycatcher
Turdus migratorius,American Robin
Buteo platypterus,Broad-winged Hawk
Picoides arcticus,Black-backed Woodpecker
Certhia americana,Brown Creeper
Poecile gambeli,Mountain Chickadee
Amblycorypha rotundifolia,Rattler Round-winged Katydid
Tachycineta bicolor,Tree Swallow
Cardellina canadensis,Canada Warbler
Empidonax alnorum,Alder Flycatcher
Empidonax difficilis,Pacific-slope Flycatcher
Poecile atricapillus,Black-capped Chickadee
Melospiza melodia,Song Sparrow
Vireo cassinii,Cassin's Vireo
Setophaga coronata,Yellow-rumped Warbler
Selasphorus rufus,Rufous Hummingbird
Passerella iliaca,Fox Sparrow
Gallinago delicata,Wilson's Snipe
Vireo solitarius,Blue-headed Vireo
Dryobates villosus,Hairy Woodpecker
Accipiter gentilis,Northern Goshawk
Tringa melanoleuca,Greater Yellowlegs
Melospiza lincolnii,Lincoln's Sparrow
Zonotrichia leucophrys,White-crowned Sparrow
Chroicocephalus philadelphia,Bonaparte's Gull
Perisoreus canadensis,Canada Jay
Antigone canadensis,Sandhill Crane
Catharus guttatus,Hermit Thrush
Empidonax flaviventris,Yellow-bellied Flycatcher
Picoides dorsalis,American Three-toed Woodpecker
Chordeiles minor,Common Nighthawk
Leiothlypis celata,Orange-crowned Warbler
Junco hyemalis,Dark-eyed Junco
Engine,Engine
Bubo virginianus,Great Horned Owl
Accipiter striatus,Sharp-shinned Hawk
Pandion haliaetus,Osprey
Mareca americana,American Wigeon
Porzana carolina,Sora
Anthus rubescens,American Pipit
Actitis macularius,Spotted Sandpiper
Mergus merganser,Common Merganser
Euphagus carolinus,Rusty Blackbird
Corvus brachyrhynchos,American Crow
Anas crecca,Green-winged Teal
Aegolius acadicus,Northern Saw-whet Owl
Haemorhous purpureus,Purple Finch
Cardellina pusilla,Wilson's Warbler
Tringa solitaria,Solitary Sandpiper
Artemisiospiza belli,Bell's Sparrow
Emberiza rustica,Rustic Bunting
Setophaga striata,Blackpoll Warbler
Podiceps grisegena,Red-necked Grebe
Setophaga townsendi,Townsend's Warbler
Conocephalus brevipennis,Short-winged Meadow Katydid
Branta canadensis,Canada Goose
Strix nebulosa,Great Gray Owl
Cygnus buccinator,Trumpeter Swan
Aythya collaris,Ring-necked Duck
Lithobates sylvaticus,Wood Frog
Sphyrapicus varius,Yellow-bellied Sapsucker
Empidonax oberholseri,Dusky Flycatcher
Pseudacris crucifer,Spring Peeper
Conocephalus fasciatus,Slender Meadow Katydid
Pinicola enucleator,Pine Grosbeak
Larus glaucescens,Glaucous-winged Gull
Scolopax minor,American Woodcock
Canachites canadensis,Spruce Grouse
Bombycilla garrulus,Bohemian Waxwing
Haemorhous cassinii,Cassin's Finch
Loxia curvirostra,Red Crossbill
Agelaius phoeniceus,Red-winged Blackbird
Poecile rufescens,Chestnut-backed Chickadee
Geothlypis trichas,Common Yellowthroat
Seiurus aurocapilla,Ovenbird
Setophaga petechia,Yellow Warbler
Spizella passerina,Chipping Sparrow
Sturnus vulgaris,European Starling
Myadestes townsendi,Townsend's Solitaire
Tyrannus tyrannus,Eastern Kingbird
Colaptes auratus,Northern Flicker
Sphyrapicus ruber,Red-breasted Sapsucker
